"profid","accountname","fname","lname","mname","bday","memdate","acctstat","address","gender","civilstat","remarks","proftype","profpic","profgroup","previd","billname","shipname","billaddr1","billaddr2","billcity","shipaddr1","shipaddr2","shipcity","area","kobid","contact","encodedby","encodedon","editedby","editedon","salesperson","clientgroupid","pricecodeid","shipperid","hasbranches","tin"
11,"36J STORE - MADRIDEJOS"," "," "," ","1990-01-01","1990-01-01",1,"POB. MADRIDEJOS, CEBU",1,1," ",1,"",99,"36J000","","","","","POB. MADRIDEJOS, CEBU","","","POB. MADRIDEJOS, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
12,"3 ANGELS PHARMACY - NAGA"," "," "," ","1990-01-01","1990-01-01",1,"NAGA",1,1," ",1,"",99,"3AN000","","","","","NAGA","","","NAGA","Cebu",8,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
13,"3C STORE - CAMOTES"," "," "," ","1990-01-01","1990-01-01",1,"CAGCAGAN CAMOTES ISLAND CEBU",1,1," ",1,"",99,"3C0001","","","","","CAGCAGAN CAMOTES ISLAND CEBU","","","CAGCAGAN CAMOTES ISLAND CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
14,"3CS STORE - TOMAS OPPUS"," "," "," ","1990-01-01","1990-01-01",1,"TOMAS OPPUS, LEYTE",1,1," ",1,"",99,"3CS000","","","","","TOMAS OPPUS, LEYTE","","","TOMAS OPPUS, LEYTE","Leyte",15,"","","","","","1",1,1,"0",0,""
15,"3J KID'S STORE -MC ARTHUR"," "," "," ","1990-01-01","1990-01-01",1,"MC ARTHUR LEYTE",1,1," ",1,"",99,"3JK000","","","","","MC ARTHUR LEYTE","","","MC ARTHUR LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
16,"3 JM STORE"," "," "," ","1990-01-01","1990-01-01",1,"",1,1," ",1,"",99,"3JM001","","","","","","","","","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
17,"3J STORE - CALBAYOG"," "," "," ","1990-01-01","1990-01-01",1,"CALBAYOG, SAMAR",1,1," ",1,"",99,"3JS003","","","","","CALBAYOG, SAMAR","","","CALBAYOG, SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
18,"3KD'S STORE - SAN JOSE"," "," "," ","1990-01-01","1990-01-01",1,"SAN JOSE, TACLOBAN",1,1," ",1,"",99,"3KD000","","","","","SAN JOSE, TACLOBAN","","","SAN JOSE, TACLOBAN","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
19,"3 KINGZ STORE -TACLOBAN"," "," "," ","1990-01-01","1990-01-01",1,"TACLOBAN LEYTE",1,1," ",1,"",99,"3KI000","","","","","TACLOBAN LEYTE","","","TACLOBAN LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
20,"3R STORE - MALITBOG"," "," "," ","1990-01-01","1990-01-01",1,"MALITBOG LEYTE",1,1," ",1,"",99,"3R0001","","","","","MALITBOG LEYTE","","","MALITBOG LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
21,"3R STORE - CATARMAN"," "," "," ","1990-01-01","1990-01-01",1,"CATARMAN, SAMAR",1,1," ",1,"",99,"3R0002","","","","","CATARMAN, SAMAR","","","CATARMAN, SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
22,"3 SIS PHARMACY & GM - CONSOLACION"," "," "," ","1990-01-01","1990-01-01",1,"CONSOLACION CEBU",1,1," ",1,"",99,"3SI003","","","","","CONSOLACION CEBU","","","CONSOLACION CEBU","Cebu",8,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
23,"3 SISTER - SAN JUAQUIN"," "," "," ","1990-01-01","1990-01-01",1,"SAN JUAQUIN, LEYTE",1,1," ",1,"",99,"3SI006","","","","","SAN JUAQUIN, LEYTE","","","SAN JUAQUIN, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
24,"4 B'S STORE - CALUBIAN"," "," "," ","1990-01-01","1990-01-01",1,"CALUBIAN LEYTE",1,1," ",1,"",99,"4BS002","","","","","CALUBIAN LEYTE","","","CALUBIAN LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
25,"4 EU PHARMACY"," "," "," ","1990-01-01","1990-01-01",1,"CORDOVA CEBU",1,1," ",1,"",99,"4EN000","","","CORDOVA CEBU","","","CORDOVA CEBU","","","Cebu",8,"","","","","","ANETTE/FLOR/DEJUN /MAX",1,1,"0",0,""
26,"4G & J STORE - CONSUELO"," "," "," ","1990-01-01","1990-01-01",1,"CONSUELO, CAMOTES ISLAND",1,1," ",1,"",99,"4GJ000","","","","","CONSUELO, CAMOTES ISLAND","","","CONSUELO, CAMOTES ISLAND","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
27,"4G STORE - BILIRAN"," "," "," ","1990-01-01","1990-01-01",1,"BILIRAN, LEYTE",1,1," ",1,"",99,"4GS000","","","","","BILIRAN, LEYTE","","","BILIRAN, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
28,"4IC STORE - TAYUD"," "," "," ","1990-01-01","1990-01-01",1,"BASAK LLC",1,1," ",1,"",99,"4IC000","","","","","BASAK LLC","","","TAYUD LILOAN, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
29,"4'J STORE"," "," "," ","1990-01-01","1990-01-01",1,"ALLEN N.S",1,1," ",1,"",99,"4JS001","","","ALLEN N.S","","","ALLEN N.S","","","Leyte",20,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
30,"4K PHARMACY & G/M  - CABREROS"," "," "," ","1990-01-01","1990-01-01",1,"CABREROS BASAK",1,1," ",1,"",99,"4KP000","","","","","CABREROS BASAK","","","CABREROS BASAK","#N/A",8,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
31,"4R'S STORE - MC ARTHUR"," "," "," ","1990-01-01","1990-01-01",1,"MC ARTHUR, SAMAR",1,1," ",1,"",99,"4RS002","","","","","MC ARTHUR, SAMAR","","","MC ARTHUR, SAMAR","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
32,"4 SIS STORE - ASTURIAS"," "," "," ","1990-01-01","1990-01-01",1,"ASTURIAS CEBU",1,1," ",1,"",99,"4SI000","","","","","ASTURIAS CEBU","","","ASTURIAS CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
33,"4 SISTER STORE - TALISAY"," "," "," ","1990-01-01","1990-01-01",1,"TULAY MINGLANILLA CEBU",1,1," ",1,"",99,"4SI001","","","","","TULAY MINGLANILLA CEBU","","","BIASONG, TALISAY CITY","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
34,"555 STORE - SAN POLICARPIO"," "," "," ","1990-01-01","1990-01-01",1,"SAN POLICARPIO, E. SAMAR",1,1," ",1,"",99,"555000","","","","","SAN POLICARPIO, E. SAMAR","","","SAN POLICARPIO, E. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
35,"5 A's STORE - ST BERNARD"," "," "," ","1990-01-01","1990-01-01",1,"ST. BERNARD, SO. LEYTE",1,1," ",1,"",99,"5AS000","","","","","ST. BERNARD, SO. LEYTE","","","ST. BERNARD, SO. LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
36,"5R STORE - LAPAZ"," "," "," ","1990-01-01","1990-01-01",1,"LAPAZ, LEYTE",1,1," ",1,"",99,"5RS","","","","","LAPAZ, LEYTE","","","LAPAZ, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
37,"6J'S GEN. MDSE. / BORBON"," "," "," ","1990-01-01","1990-01-01",1,"BORBON, CEBU",1,1," ",1,"",99,"6JS000","","","","","BORBON, CEBU","","","BORBON, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
38,"7DC CONVENIENCE STORE - COMPOSTELA"," "," "," ","1990-01-01","1990-01-01",1,"COMPOSTELA CEBU",1,1," ",1,"",99,"7DC000","","","","","COMPOSTELA CEBU","","","COMPOSTELA CEBU","Cebu",2,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
39,"7G'S   STORE - BARILI"," "," "," ","1990-01-01","1990-01-01",1,"BARILI CEBU",1,1," ",1,"",99,"7GS000","","","","","BARILI CEBU","","","BARILI, CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
40,"7 MIMIMART - CATBALOGAN"," "," "," ","1990-01-01","1990-01-01",1,"CATBALOGAN, W. SAMAR",1,1," ",1,"",99,"7M0000","","","","","CATBALOGAN, W. SAMAR","","","CATBALOGAN, W. SAMAR","Leyte",2,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
41,"7 MINIMART- CATBALOGAN"," "," "," ","1990-01-01","1990-01-01",1,"CATBALOGAN LEYTE",1,1," ",1,"",99,"7MI000","","","","CATBALOGAN LEYTE","","","CATBALOGAN LEYTE","","Leyte",3,"","","","","","PHILIP ESCOL",1,1,"0",0,""
42,"7R STORE - BURAUEN"," "," "," ","1990-01-01","1990-01-01",1,"BURAUEN, LEYTE",1,1," ",1,"",99,"7RS000","","","","","BURAUEN, LEYTE","","","BURAUEN, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
43,"888 CONV. STORE - TAN.AWAN OSLOB"," "," "," ","1990-01-01","1990-01-01",1,"TAN.AWAN OSLOB",1,1," ",1,"",99,"888001","","","","","TAN.AWAN OSLOB","","","TAN.AWAN OSLOB","Cebu",2,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
44,"8JS G/M"," "," "," ","1990-01-01","1990-01-01",1,"PIT-OS TALAMBAN",1,1," ",1,"",99,"8JS000","","","PIT-OS TALAMBAN","","","PIT-OS TALAMBAN","","","#N/A",20,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
45,"8'S CONVENIENCE STORE- SAN JORGE"," "," "," ","1990-01-01","1990-01-01",1,"SAN JORGE LEYTE",1,1," ",1,"",99,"8SC000","","","","SAN JORGE LEYTE","","","SAN JORGE LEYTE","","Leyte",3,"","","","","","PHILIP ESCOL",1,1,"0",0,""
46,"90/10 STORE - HINABANGAN"," "," "," ","1990-01-01","1990-01-01",1,"HINABANGAN SAMAR",1,1," ",1,"",99,"901000","","","","","HINABANGAN SAMAR","","","HINABANGAN SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
47,"A1 PLUS PHARMACY - BONTOC"," "," "," ","1990-01-01","1990-01-01",1,"BONTOC, LEYTE",1,1," ",1,"",99,"A1P001","","","","","BONTOC, LEYTE","","","BONTOC, LEYTE","Leyte",8,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
48,"A & AL ENTERPRISES"," "," "," ","1990-01-01","1990-01-01",1,"PREGRESO ST ERMITA C.C",1,1," ",1,"",99,"AAA002","","","PREGRESO ST ERMITA C.C","","","PREGRESO ST ERMITA C.C","","","#N/A",20,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
49,"AALIYAH STORE - STA FE"," "," "," ","1990-01-01","1990-01-01",1,"STA FE, CEBU",1,1," ",1,"",99,"AAL000","","","","","STA FE, CEBU","","","STA FE, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
50,"AA TWIN STORE - CALBIGA"," "," "," ","1990-01-01","1990-01-01",1,"CALBIGA, W. SAMAR",1,1," ",1,"",99,"AAT000","","","","","CALBIGA, W. SAMAR","","","CALBIGA, W. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
51,"ABAJON STORE - ALCOY"," "," "," ","1990-01-01","1990-01-01",1,"POBLACION ALCOY",1,1," ",1,"",99,"ABA000","","","","","POBLACION ALCOY","","","POBLACION ALCOY","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
52,"ABAYAN STORE - LAWAAN"," "," "," ","1990-01-01","1990-01-01",1,"LAWAAN",1,1," ",1,"",99,"ABA004","","","","","LAWAAN","","","LAWAAN","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
53,"ABBY & ZAM - BABAG II"," "," "," ","1990-01-01","1990-01-01",1,"BABAG 2 LAPU-LAPU",1,1," ",1,"",99,"ABB000","","","","","BABAG 2 LAPU-LAPU","","","BABAG 2 LAPU-LAPU","#N/A",15,"","","","","","JEREMIAH DAVID BENJAMIN",1,1,"0",0,""
54,"ABC PHARMACY - BORONGAN"," "," "," ","1990-01-01","1990-01-01",1,"BORONGAN, E. SAMAR",1,1," ",1,"",99,"ABC002","","","","","BORONGAN, E. SAMAR","","","BORONGAN, E. SAMAR","Leyte",7,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
55,"ABELLA STORE - MINGLANILLA"," "," "," ","1990-01-01","1990-01-01",1,"MINGLANILLA",1,1," ",1,"",99,"ABE006","","","","","MINGLANILLA","","","MINGLANILLA","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
56,"ABI STORE - CABUGAYAN"," "," "," ","1990-01-01","1990-01-01",1,"CABUGAYAN LEYTE",1,1," ",1,"",99,"ABI001","","","","","CABUGAYAN LEYTE","","","CABUGAYAN LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
57,"ABUNELLIOS STORE - BADIAN"," "," "," ","1990-01-01","1990-01-01",1,"BADIAN",1,1," ",1,"",99,"ABU000","","","","","BADIAN","","","BADIAN","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
58,"ABY STORE - CABUCGAYAN"," "," "," ","1990-01-01","1990-01-01",1,"CABUCGAYAN, LEYTE",1,1," ",1,"",99,"ABY000","","","","","CABUCGAYAN, LEYTE","","","CABUCGAYAN, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
59,"ACACIA PHARMACY - OSLOB"," "," "," ","1990-01-01","1990-01-01",1,"OSLOB / SAMBOAN CEBU",1,1," ",1,"",99,"ACA000","","","","","OSLOB / SAMBOAN CEBU","","","OSLOB / SAMBOAN CEBU","Cebu",8,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
60,"ACACIA PHARMACY - SAMBOAN"," "," "," ","1990-01-01","1990-01-01",1,"SAMBOAN CEBU",1,1," ",1,"",99,"ACA001","","","","","SAMBOAN CEBU","","","SAMBOAN CEBU","Cebu",8,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
61,"ACACIA GROCERY - OSLOB"," "," "," ","1990-01-01","1990-01-01",1,"OSLOB, CEBU",1,1," ",1,"",99,"ACA003","","","","","OSLOB, CEBU","","","OSLOB, CEBU","Cebu",10,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
62,"A CASAS STORE - ORMOC"," "," "," ","1990-01-01","1990-01-01",1,"ORMOC",1,1," ",1,"",99,"ACA004","","","","","ORMOC","","","ORMOC","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
63,"ACE STORE"," "," "," ","1990-01-01","1990-01-01",1,"BANK OF COLONADE MANDAUE",1,1," ",1,"",99,"ACE000","","","","","BANK OF COLONADE MANDAUE","","","BANK OF COLONADE MANDAUE","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
64,"ACE PHARMACY - CATBALOGAN"," "," "," ","1990-01-01","1990-01-01",1,"CATBALOGAN LEYTE",1,1," ",1,"",99,"ACE003","","","","","CATBALOGAN LEYTE","","","CATBALOGAN LEYTE","Leyte",8,"","","","","","PHILIP ESCOL",1,1,"0",0,""
65,"ACES CONVENIENCE STORE - BOGO"," "," "," ","1990-01-01","1990-01-01",1,"BOGO CITY, CEBU",1,1," ",1,"",99,"ACE004","","","","","BOGO CITY, CEBU","","","BOGO CITY, CEBU","Cebu",2,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
66,"ACH STORE - ANAHAWAN"," "," "," ","1990-01-01","1990-01-01",1,"ANAHAWAN, LEYTE",1,1," ",1,"",99,"ACH001","","","","","ANAHAWAN, LEYTE","","","ANAHAWAN, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
67,"ACS G/M - LILOAN"," "," "," ","1990-01-01","1990-01-01",1,"LILOAN, CEBU",1,1," ",1,"",99,"ACS001","","","","","LILOAN, CEBU","","","LILOAN, CEBU","Cebu",10,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
68,"ADA'S EATERY - BATO LEYTE"," "," "," ","1990-01-01","1990-01-01",1,"BATO LEYTE",1,1," ",1,"",99,"ADA001","","","","","BATO LEYTE","","","BATO LEYTE","Leyte",9,"","","","","","PHILIP ESCOL",1,1,"0",0,""
69,"ADA EATERY  - OKOY"," "," "," ","1990-01-01","1990-01-01",1,"OKOY, MADRIDEJOS CEBU",1,1," ",1,"",99,"ADA006","","","","","OKOY, MADRIDEJOS CEBU","","","OKOY, MADRIDEJOS CEBU","Cebu",9,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
70,"ADIE STORE - CC"," "," "," ","1990-01-01","1990-01-01",1,"CC",1,1," ",1,"",99,"ADI004","","","","","CC","","","CC","#N/A",15,"","","","","","JEREMIAH COMPACION",1,1,"0",0,""
71,"AEIOU ENT. - HINDANG"," "," "," ","1990-01-01","1990-01-01",1,"HINDANG LEYTE",1,1," ",1,"",99,"AEI000","","","","","HINDANG LEYTE","","","HINDANG LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
72,"AEION STORE - VILLIAREAL"," "," "," ","1990-01-01","1990-01-01",1,"VILLIAREAL,LEYTE",1,1," ",1,"",99,"AEI001","","","","","VILLIAREAL,LEYTE","","","VILLIAREAL,LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
73,"AFPCES - LLC"," "," "," ","1990-01-01","1990-01-01",1,"LAPU-LAPU CITY CEBU",1,1," ",1,"",99,"AFP000","","","LAPU-LAPU CITY CEBU","","","LAPU-LAPU CITY CEBU","","","Cebu",14,"","","","","","Romnick Remolado",1,1,"0",0,""
74,"AFPCES"," "," "," ","1990-01-01","1990-01-01",1,"CAMP LAPU-LAPU APAS LAHUG",1,1," ",1,"",99,"AFP001","","","CAMP LAPU-LAPU APAS LAHUG","","","CAMP LAPU-LAPU APAS LAHUG","","","Cebu",14,"","","","","","Romnick Remolado",1,1,"0",0,""
75,"A & G  STORE - ALEGRIA"," "," "," ","1990-01-01","1990-01-01",1,"ALEGRIA",1,1," ",1,"",99,"AG0000","","","","","ALEGRIA","","","ALEGRIA","Cebu",14,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
76,"AG & J STORE - CONSUELO"," "," "," ","1990-01-01","1990-01-01",1,"CONSUELO, CAMOTES, CEBU",1,1," ",1,"",99,"AGJ000","","","","","CONSUELO, CAMOTES, CEBU","","","CONSUELO, CAMOTES, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
77,"AGUILA STORE - SILAGO"," "," "," ","1990-01-01","1990-01-01",1,"SILAGO, LEYTE",1,1," ",1,"",99,"AGU002","","","","","SILAGO, LEYTE","","","SILAGO, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
78,"AGUILLON STORE - TANAUAN"," "," "," ","1990-01-01","1990-01-01",1,"TANAUAN, LEYTE",1,1," ",1,"",99,"AGU003","","","","","TANAUAN, LEYTE","","","TANAUAN, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
79,"AHLOWS STORE - MONDRAGON"," "," "," ","1990-01-01","1990-01-01",1,"MONDRAGON, W. SAMAR",1,1," ",1,"",99,"AHL001","","","","","MONDRAGON, W. SAMAR","","","MONDRAGON, W. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
80,"AHP STORE - LAPAZ"," "," "," ","1990-01-01","1990-01-01",1,"LAPAZ, LEYTE",1,1," ",1,"",99,"AHP000","","","","","LAPAZ, LEYTE","","","LAPAZ, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
81,"AIC ZEDON ENTERPRISE"," "," "," ","1990-01-01","1990-01-01",1,"MINGLANILLA",1,1," ",1,"",99,"AIC000","","","MINGLANILLA","","","MINGLANILLA","","","#N/A",20,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
82,"AILEEN STORE - HINUNANGAN"," "," "," ","1990-01-01","1990-01-01",1,"HINUNANGAN LEYTE",1,1," ",1,"",99,"AIL000","","","","","HINUNANGAN LEYTE","","","HINUNANGAN LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
83,"AILYN STORE - MC ARTHUR"," "," "," ","1990-01-01","1990-01-01",1,"MC ARTHUR LEYTE",1,1," ",1,"",99,"AIL004","","","","","MC ARTHUR LEYTE","","","MC ARTHUR LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
84,"AILYN STORE - SOGOD"," "," "," ","1990-01-01","1990-01-01",1,"SOGOD, SO. LEYTE",1,1," ",1,"",99,"AIL005","","","","","SOGOD, SO. LEYTE","","","SOGOD, SO. LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
85,"AIROL STORE - PEÑA"," "," "," ","1990-01-01","1990-01-01",1,"PENA, LEYTE",1,1," ",1,"",99,"AIR004","","","","","PENA, LEYTE","","","PENA, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
86,"AISSA-VILLE - BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"BANTAYA ISLAND",1,1," ",1,"",99,"AIS000","","","","","BANTAYA ISLAND","","","BANTAYA ISLAND","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
87,"AISON GROCERY - ORMOC"," "," "," ","1990-01-01","1990-01-01",1,"ORMOC LEYTE",1,1," ",1,"",99,"AIS001","","","","","ORMOC LEYTE","","","ORMOC LEYTE","Leyte",11,"","","","","","PHILIP ESCOL",1,1,"0",0,""
88,"AIZA CHAN STORE - DANAO"," "," "," ","1990-01-01","1990-01-01",1,"GUINSAY, DANAO CITY",1,1," ",1,"",99,"AIZ002","","","","","GUINSAY, DANAO CITY","","","GUINSAY, DANAO CITY","#N/A",15,"","","","","","JASON TARIAO",1,1,"0",0,""
89,"AJ MIGZ STORE - CATMON"," "," "," ","1990-01-01","1990-01-01",1,"CATMON, CEBU",1,1," ",1,"",99,"AJM000","","","","","CATMON, CEBU","","","CATMON, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
90,"AJP'S STORE"," "," "," ","1990-01-01","1990-01-01",1,"PUNTA LABANGONCEBU",1,1," ",1,"",99,"AJP001","","","PUNTA LABANGON","","CEBU","PUNTA LABANGON","","CEBU","#N/A",15,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
91,"AJ STORE - SAN FRANS"," "," "," ","1990-01-01","1990-01-01",1,"SAN FRAN  CAMOTES CEBU",1,1," ",1,"",99,"AJS001","","","","","SAN FRAN  CAMOTES CEBU","","","SAN FRAN  CAMOTES CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
92,"AJ STORE - SAN FRANCISCO"," "," "," ","1990-01-01","1990-01-01",1,"SAN FRANCISCO, SO. LEYTE",1,1," ",1,"",99,"AJS005","","","","","SAN FRANCISCO, SO. LEYTE","","","SAN FRANCISCO, SO. LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
93,"AJ STORE - SAN ISIDRO"," "," "," ","1990-01-01","1990-01-01",1,"SAN ISIDRO, N. SAMAR",1,1," ",1,"",99,"AJS006","","","","","SAN ISIDRO, N. SAMAR","","","SAN ISIDRO, N. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
94,"ALBING'S STORE  - BORBON"," "," "," ","1990-01-01","1990-01-01",1,"BORBON CENTRAL",1,1," ",1,"",99,"ALB002","","","","","BORBON CENTRAL","","","BORBON CENTRAL","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
