"itempricingid","brcode","iteminfoid","pricecodeid","price","encodedon","encodedby","editedby","editedon"
136,1,108,1,1.00,"2020-09-18 19:51:48","admin","",""
137,1,109,1,1.00,"2020-09-18 19:51:51","admin","",""
138,1,110,1,1.00,"2020-09-18 19:51:54","admin","",""
139,1,111,1,1.00,"2020-09-18 19:51:56","admin","",""
140,1,112,1,1.00,"2020-09-18 19:51:59","admin","",""
141,1,113,1,1.00,"2020-09-18 19:52:02","admin","",""
142,1,114,1,1.00,"2020-09-18 19:52:05","admin","",""
143,1,115,1,1.00,"2020-09-18 19:52:10","admin","",""
144,1,116,1,1.00,"2020-09-18 19:52:13","admin","",""
145,1,117,1,1.00,"2020-09-18 19:52:16","admin","",""
146,1,118,1,1.00,"2020-09-18 19:52:18","admin","",""
147,1,119,1,1.00,"2020-09-18 19:52:22","admin","",""
148,1,120,1,1.00,"2020-09-18 19:52:24","admin","",""
149,1,121,1,1.00,"2020-09-18 19:52:26","admin","",""
150,1,122,1,1.00,"2020-09-18 19:52:29","admin","",""
151,1,123,1,1.00,"2020-09-18 19:52:31","admin","",""
152,1,124,1,1.00,"2020-09-18 19:52:34","admin","",""
153,1,125,1,1.00,"2020-09-18 19:52:36","admin","",""
154,1,126,1,1.00,"2020-09-18 19:52:40","admin","",""
155,1,127,1,1.00,"2020-09-18 19:52:44","admin","",""
156,1,128,1,1.00,"2020-09-18 19:52:46","admin","",""
157,1,129,1,1.00,"2020-09-18 19:52:48","admin","",""
158,1,130,1,1.00,"2020-09-18 19:52:52","admin","",""
159,1,131,1,1.00,"2020-09-18 19:52:54","admin","",""
160,1,132,1,1.00,"2020-09-18 19:52:58","admin","",""
161,1,133,1,1.00,"2020-09-18 19:53:00","admin","",""
162,1,134,1,1.00,"2020-09-18 19:53:03","admin","",""
163,1,135,1,1.00,"2020-09-18 19:53:05","admin","",""
164,1,136,1,1.00,"2020-09-18 19:53:07","admin","",""
165,1,137,1,1.00,"2020-09-18 19:53:10","admin","",""
166,1,138,1,1.00,"2020-09-18 19:53:13","admin","",""
167,1,139,1,1.00,"2020-09-18 19:53:16","admin","",""
168,1,140,1,1.00,"2020-09-18 19:53:19","admin","",""
169,1,141,1,1.00,"2020-09-18 19:53:21","admin","",""
170,1,142,1,1.00,"2020-09-18 19:53:24","admin","",""
171,1,143,1,1.00,"2020-09-18 19:53:26","admin","",""
172,1,144,1,1.00,"2020-09-18 19:53:32","admin","",""
173,1,145,1,1.00,"2020-09-18 19:53:35","admin","",""
174,1,146,1,1.00,"2020-09-18 19:53:38","admin","",""
175,1,147,1,1.00,"2020-09-18 19:53:40","admin","",""
176,1,148,1,1.00,"2020-09-18 19:53:44","admin","",""
177,1,149,1,1.00,"2020-09-18 19:53:46","admin","",""
178,1,150,1,1.00,"2020-09-18 19:53:49","admin","",""
179,1,151,1,1.00,"2020-09-18 19:53:51","admin","",""
180,1,152,1,1.00,"2020-09-18 19:54:25","admin","",""
181,1,153,1,1.00,"2020-09-18 19:54:28","admin","",""
182,1,154,1,1.00,"2020-09-18 19:54:30","admin","",""
183,1,155,1,1.00,"2020-09-18 19:54:33","admin","",""
184,1,156,1,1.00,"2020-09-18 19:54:36","admin","",""
185,1,157,1,1.00,"2020-09-18 19:54:38","admin","",""
186,1,158,1,1.00,"2020-09-18 19:54:41","admin","",""
187,1,159,1,1.00,"2020-09-18 19:54:43","admin","",""
188,1,160,1,1.00,"2020-09-18 19:54:46","admin","",""
189,1,161,1,1.00,"2020-09-18 19:54:49","admin","",""
190,1,162,1,1.00,"2020-09-18 19:54:51","admin","",""
191,1,163,1,1.00,"2020-09-18 19:54:54","admin","",""
192,1,164,1,1.00,"2020-09-18 19:54:57","admin","",""
193,1,165,1,1.00,"2020-09-18 19:55:01","admin","",""
194,1,166,1,1.00,"2020-09-18 19:55:04","admin","",""
195,1,167,1,1.00,"2020-09-18 19:55:07","admin","",""
196,1,168,1,1.00,"2020-09-18 19:55:10","admin","",""
197,1,169,1,1.00,"2020-09-18 19:55:12","admin","",""
198,1,170,1,1.00,"2020-09-18 19:55:15","admin","",""
199,1,171,1,1.00,"2020-09-18 19:55:18","admin","",""
200,1,172,1,1.00,"2020-09-18 19:55:20","admin","",""
201,1,173,1,1.00,"2020-09-18 19:55:22","admin","",""
202,1,174,1,1.00,"2020-09-18 19:55:25","admin","",""
203,1,175,1,1.00,"2020-09-18 19:55:27","admin","",""
204,1,176,1,1.00,"2020-09-18 19:55:31","admin","",""
205,1,177,1,1.00,"2020-09-18 19:55:34","admin","",""
206,1,178,1,1.00,"2020-09-18 19:55:37","admin","",""
207,1,179,1,1.00,"2020-09-18 19:55:39","admin","",""
208,1,180,1,1.00,"2020-09-18 19:55:43","admin","",""
209,1,181,1,1.00,"2020-09-18 19:55:45","admin","",""
210,1,182,1,1.00,"2020-09-18 19:55:51","admin","",""
211,1,183,1,1.00,"2020-09-18 19:55:53","admin","",""
212,1,184,1,1.00,"2020-09-18 19:55:56","admin","",""
213,1,185,1,1.00,"2020-09-18 19:56:01","admin","",""
214,1,186,1,1.00,"2020-09-18 19:56:03","admin","",""
215,1,187,1,1.00,"2020-09-18 19:56:05","admin","",""
216,1,188,1,1.00,"2020-09-18 19:56:08","admin","",""
217,1,189,1,1.00,"2020-09-18 19:56:11","admin","",""
218,1,190,1,1.00,"2020-09-18 19:56:14","admin","",""
219,1,191,1,1.00,"2020-09-18 19:56:17","admin","",""
220,1,192,1,1.00,"2020-09-18 19:56:20","admin","",""
221,1,193,1,1.00,"2020-09-18 19:56:23","admin","",""
222,1,194,1,1.00,"2020-09-18 19:56:25","admin","",""
223,1,195,1,1.00,"2020-09-18 19:56:28","admin","",""
224,1,196,1,1.00,"2020-09-18 19:56:31","admin","",""
225,1,197,1,1.00,"2020-09-18 19:56:34","admin","",""
226,1,198,1,1.00,"2020-09-18 19:56:36","admin","",""
227,1,199,1,1.00,"2020-09-18 19:56:39","admin","",""
228,1,200,1,1.00,"2020-09-18 19:56:41","admin","",""
229,1,201,1,1.00,"2020-09-18 19:56:43","admin","",""
230,1,202,1,1.00,"2020-09-18 19:56:46","admin","",""
231,1,203,1,1.00,"2020-09-18 19:56:49","admin","",""
232,1,204,1,1.00,"2020-09-18 19:56:58","admin","",""
233,1,205,1,1.00,"2020-09-18 19:57:01","admin","",""
234,1,206,1,1.00,"2020-09-18 19:57:03","admin","",""
235,1,207,1,1.00,"2020-09-18 19:57:06","admin","",""
236,1,208,1,1.00,"2020-09-18 19:57:10","admin","",""
237,1,209,1,1.00,"2020-09-18 19:57:12","admin","",""
238,1,210,1,1.00,"2020-09-18 19:57:15","admin","",""
239,1,211,1,1.00,"2020-09-18 19:57:17","admin","",""
240,1,212,1,1.00,"2020-09-18 19:57:20","admin","",""
241,1,213,1,1.00,"2020-09-18 19:57:22","admin","",""
242,1,214,1,1.00,"2020-09-18 19:57:25","admin","",""
243,1,215,1,1.00,"2020-09-18 19:57:29","admin","",""
244,1,216,1,1.00,"2020-09-18 19:57:37","admin","",""
245,1,217,1,1.00,"2020-09-18 19:57:40","admin","",""
246,1,218,1,1.00,"2020-09-18 19:57:43","admin","",""
247,1,219,1,1.00,"2020-09-18 19:57:45","admin","",""
248,1,220,1,1.00,"2020-09-18 19:57:48","admin","",""
249,1,221,1,1.00,"2020-09-18 19:57:50","admin","",""
250,1,222,1,1.00,"2020-09-18 19:57:52","admin","",""
251,1,223,1,1.00,"2020-09-18 19:57:55","admin","",""
252,1,224,1,1.00,"2020-09-18 19:57:58","admin","",""
253,1,225,1,1.00,"2020-09-18 19:58:01","admin","",""
254,1,226,1,1.00,"2020-09-18 19:58:04","admin","",""
255,1,227,1,1.00,"2020-09-18 19:58:10","admin","",""
256,1,228,1,1.00,"2020-09-18 19:58:13","admin","",""
257,1,229,1,1.00,"2020-09-18 19:58:15","admin","",""
258,1,230,1,1.00,"2020-09-18 19:58:19","admin","",""
259,1,231,1,1.00,"2020-09-18 19:58:22","admin","",""
260,1,232,1,1.00,"2020-09-18 19:58:24","admin","",""
261,1,233,1,1.00,"2020-09-18 19:58:26","admin","",""
262,1,234,1,1.00,"2020-09-18 19:58:29","admin","",""
263,1,235,1,1.00,"2020-09-18 19:58:31","admin","",""
264,1,236,1,1.00,"2020-09-18 19:58:33","admin","",""
265,1,237,1,1.00,"2020-09-18 19:58:36","admin","",""
266,1,238,1,1.00,"2020-09-18 19:58:39","admin","",""
267,1,239,1,1.00,"2020-09-18 19:58:43","admin","",""
268,1,240,1,1.00,"2020-09-18 19:58:46","admin","",""
269,1,241,1,1.00,"2020-09-18 19:59:35","admin","",""
270,1,242,1,1.00,"2020-09-18 19:59:38","admin","",""
271,1,243,1,1.00,"2020-09-18 19:59:40","admin","",""
272,1,244,1,1.00,"2020-09-18 19:59:43","admin","",""
273,1,245,1,1.00,"2020-09-18 19:59:46","admin","",""
274,1,246,1,1.00,"2020-09-18 19:59:48","admin","",""
275,1,247,1,1.00,"2020-09-18 19:59:50","admin","",""
276,1,248,1,1.00,"2020-09-18 19:59:53","admin","",""
277,1,249,1,1.00,"2020-09-18 19:59:56","admin","",""
278,1,250,1,1.00,"2020-09-18 19:59:58","admin","",""
279,1,251,1,1.00,"2020-09-18 20:00:00","admin","",""
280,1,252,1,1.00,"2020-09-18 20:00:02","admin","",""
281,1,253,1,1.00,"2020-09-18 20:00:05","admin","",""
282,1,254,1,1.00,"2020-09-18 20:00:08","admin","",""
283,1,255,1,1.00,"2020-09-18 20:00:10","admin","",""
284,1,256,1,1.00,"2020-09-18 20:00:13","admin","",""
285,1,257,1,1.00,"2020-09-18 20:00:16","admin","",""
286,1,258,1,1.00,"2020-09-18 20:00:20","admin","",""
287,1,259,1,1.00,"2020-09-18 20:00:23","admin","",""
288,1,260,1,1.00,"2020-09-18 20:00:26","admin","",""
289,1,261,1,1.00,"2020-09-18 20:00:29","admin","",""
290,1,262,1,1.00,"2020-09-18 20:00:32","admin","",""
291,1,263,1,1.00,"2020-09-18 20:00:35","admin","",""
292,1,264,1,1.00,"2020-09-18 20:00:37","admin","",""
293,1,265,1,1.00,"2020-09-18 20:00:40","admin","",""
294,1,266,1,1.00,"2020-09-18 20:00:42","admin","",""
295,1,267,1,1.00,"2020-09-18 20:00:45","admin","",""
296,1,268,1,1.00,"2020-09-18 20:02:07","admin","",""
297,1,269,1,1.00,"2020-09-18 20:02:10","admin","",""
298,1,270,1,1.00,"2020-09-18 20:02:13","admin","",""
299,1,271,1,1.00,"2020-09-18 20:02:15","admin","",""
300,1,272,1,1.00,"2020-09-18 20:02:18","admin","",""
301,1,273,1,1.00,"2020-09-18 20:02:20","admin","",""
302,1,274,1,1.00,"2020-09-18 20:02:23","admin","",""
303,1,275,1,1.00,"2020-09-18 20:02:26","admin","",""
304,1,276,1,1.00,"2020-09-18 20:02:29","admin","",""
305,1,277,1,1.00,"2020-09-18 20:02:32","admin","",""
306,1,278,1,1.00,"2020-09-18 20:02:35","admin","",""
307,1,279,1,1.00,"2020-09-18 20:02:38","admin","",""
308,1,280,1,1.00,"2020-09-18 20:02:40","admin","",""
309,1,281,1,1.00,"2020-09-18 20:02:43","admin","",""
310,1,282,1,1.00,"2020-09-18 20:02:46","admin","",""
311,1,283,1,1.00,"2020-09-18 20:02:48","admin","",""
312,1,284,1,1.00,"2020-09-18 20:02:51","admin","",""
313,1,285,1,1.00,"2020-09-18 20:02:56","admin","",""
314,1,286,1,1.00,"2020-09-18 20:02:58","admin","",""
315,1,287,1,1.00,"2020-09-18 20:03:02","admin","",""
316,1,288,1,1.00,"2020-09-18 20:03:04","admin","",""
317,1,289,1,1.00,"2020-09-18 20:03:07","admin","",""
318,1,290,1,1.00,"2020-09-18 20:03:09","admin","",""
319,1,291,1,1.00,"2020-09-18 20:03:12","admin","",""
320,1,292,1,1.00,"2020-09-18 20:03:15","admin","",""
321,1,293,1,1.00,"2020-09-18 20:03:17","admin","",""
322,1,294,1,1.00,"2020-09-18 20:03:20","admin","",""
323,1,295,1,1.00,"2020-09-18 20:03:23","admin","",""
324,1,296,1,1.00,"2020-09-18 20:03:26","admin","",""
325,1,297,1,1.00,"2020-09-18 20:03:29","admin","",""
326,1,298,1,1.00,"2020-09-18 20:03:32","admin","",""
327,1,299,1,1.00,"2020-09-18 20:03:34","admin","",""
328,1,300,1,1.00,"2020-09-18 20:03:37","admin","",""
329,1,301,1,1.00,"2020-09-18 20:03:39","admin","",""
330,1,302,1,1.00,"2020-09-18 20:03:42","admin","",""
331,1,303,1,1.00,"2020-09-18 20:03:45","admin","",""
332,1,304,1,1.00,"2020-09-18 20:03:48","admin","",""
333,1,305,1,1.00,"2020-09-18 20:03:50","admin","",""
334,1,306,1,1.00,"2020-09-18 20:03:54","admin","",""
335,1,307,1,1.00,"2020-09-18 20:03:57","admin","",""
336,1,308,1,1.00,"2020-09-18 20:03:59","admin","",""
337,1,309,1,1.00,"2020-09-18 20:04:02","admin","",""
338,1,310,1,1.00,"2020-09-18 20:04:04","admin","",""
339,1,311,1,1.00,"2020-09-18 20:04:07","admin","",""
340,1,312,1,1.00,"2020-09-18 20:04:10","admin","",""
341,1,313,1,1.00,"2020-09-18 20:04:12","admin","",""
342,1,314,1,1.00,"2020-09-18 20:04:16","admin","",""
343,1,315,1,1.00,"2020-09-18 20:04:19","admin","",""
344,1,316,1,1.00,"2020-09-18 20:04:22","admin","",""
345,1,317,1,1.00,"2020-09-18 20:04:26","admin","",""
346,1,318,1,1.00,"2020-09-18 20:04:28","admin","",""
347,1,319,1,1.00,"2020-09-18 20:04:31","admin","",""
348,1,320,1,1.00,"2020-09-18 20:04:34","admin","",""
349,1,321,1,1.00,"2020-09-18 20:04:36","admin","",""
350,1,322,1,1.00,"2020-09-18 20:04:39","admin","",""
351,1,323,1,1.00,"2020-09-18 20:04:42","admin","",""
352,1,324,1,1.00,"2020-09-18 20:04:46","admin","",""
353,1,325,1,1.00,"2020-09-18 20:04:48","admin","",""
354,1,326,1,1.00,"2020-09-18 20:04:52","admin","",""
355,1,327,1,1.00,"2020-09-18 20:04:54","admin","",""
356,1,328,1,1.00,"2020-09-18 20:04:57","admin","",""
357,1,329,1,1.00,"2020-09-18 20:05:02","admin","",""
358,1,330,1,1.00,"2020-09-18 20:05:05","admin","",""
359,1,331,1,1.00,"2020-09-18 20:05:08","admin","",""
360,1,332,1,1.00,"2020-09-18 20:05:11","admin","",""
361,1,333,1,1.00,"2020-09-18 20:05:14","admin","",""
362,1,334,1,1.00,"2020-09-18 20:05:16","admin","",""
363,1,335,1,1.00,"2020-09-18 20:05:18","admin","",""
364,1,336,1,1.00,"2020-09-18 20:05:21","admin","",""
365,1,337,1,1.00,"2020-09-18 20:05:24","admin","",""
366,1,338,1,1.00,"2020-09-18 20:05:26","admin","",""
367,1,339,1,1.00,"2020-09-18 20:05:30","admin","",""
368,1,340,1,1.00,"2020-09-18 20:05:33","admin","",""
369,1,341,1,1.00,"2020-09-18 20:05:35","admin","",""
370,1,342,1,1.00,"2020-09-18 20:05:38","admin","",""
371,1,343,1,1.00,"2020-09-18 20:05:41","admin","",""
372,1,344,1,1.00,"2020-09-18 20:05:52","admin","",""
373,1,345,1,1.00,"2020-09-18 20:05:55","admin","",""
374,1,346,1,1.00,"2020-09-18 20:05:58","admin","",""
375,1,347,1,1.00,"2020-09-18 20:06:02","admin","",""
376,1,348,1,1.00,"2020-09-18 20:06:04","admin","",""
377,1,349,1,1.00,"2020-09-18 20:06:08","admin","",""
378,1,350,1,1.00,"2020-09-18 20:06:10","admin","",""
379,1,351,1,1.00,"2020-09-18 20:06:12","admin","",""
380,1,352,1,1.00,"2020-09-18 20:06:15","admin","",""
381,1,353,1,1.00,"2020-09-18 20:06:18","admin","",""
382,1,354,1,1.00,"2020-09-18 20:06:21","admin","",""
383,1,355,1,1.00,"2020-09-18 20:06:23","admin","",""
384,1,356,1,1.00,"2020-09-18 20:06:26","admin","",""
385,1,357,1,1.00,"2020-09-18 20:06:29","admin","",""
386,1,358,1,1.00,"2020-09-18 20:06:32","admin","",""
387,1,359,1,1.00,"2020-09-18 20:06:34","admin","",""
388,1,360,1,1.00,"2020-09-18 20:06:37","admin","",""
389,1,361,1,1.00,"2020-09-18 20:06:40","admin","",""
390,1,362,1,1.00,"2020-09-18 20:06:43","admin","",""
391,1,363,1,1.00,"2020-09-18 20:09:21","admin","",""
392,1,364,1,1.00,"2020-09-18 20:09:23","admin","",""
393,1,365,1,1.00,"2020-09-18 20:09:26","admin","",""
394,1,366,1,1.00,"2020-09-18 20:09:29","admin","",""
395,1,367,1,1.00,"2020-09-18 20:09:33","admin","",""
396,1,368,1,1.00,"2020-09-18 20:09:36","admin","",""
397,1,369,1,1.00,"2020-09-18 20:09:39","admin","",""
398,1,370,1,1.00,"2020-09-18 20:09:42","admin","",""
399,1,371,1,1.00,"2020-09-18 20:09:44","admin","",""
400,1,372,1,1.00,"2020-09-18 20:09:47","admin","",""
401,1,373,1,1.00,"2020-09-18 20:09:50","admin","",""
402,1,374,1,1.00,"2020-09-18 20:09:53","admin","",""
403,1,375,1,1.00,"2020-09-18 20:09:55","admin","",""
404,1,376,1,1.00,"2020-09-18 20:10:00","admin","",""
405,1,377,1,1.00,"2020-09-18 20:10:02","admin","",""
406,1,378,1,1.00,"2020-09-18 20:10:06","admin","",""
407,1,379,1,1.00,"2020-09-18 20:10:08","admin","",""
408,1,380,1,1.00,"2020-09-18 20:10:11","admin","",""
409,1,381,1,1.00,"2020-09-18 20:10:14","admin","",""
410,1,382,1,1.00,"2020-09-18 20:10:17","admin","",""
411,1,383,1,1.00,"2020-09-18 20:10:19","admin","",""
412,1,384,1,1.00,"2020-09-18 20:10:22","admin","",""
413,1,385,1,1.00,"2020-09-18 20:10:25","admin","",""
414,1,386,1,1.00,"2020-09-18 20:10:27","admin","",""
415,1,387,1,1.00,"2020-09-18 20:10:31","admin","",""
416,1,388,1,1.00,"2020-09-18 20:10:33","admin","",""
417,1,389,1,1.00,"2020-09-18 20:10:36","admin","",""
418,1,390,1,1.00,"2020-09-18 20:10:38","admin","",""
419,1,391,1,1.00,"2020-09-18 20:10:41","admin","",""
420,1,392,1,1.00,"2020-09-18 20:10:44","admin","",""
421,1,393,1,1.00,"2020-09-18 20:10:48","admin","",""
422,1,394,1,1.00,"2020-09-18 20:10:50","admin","",""
423,1,395,1,1.00,"2020-09-18 20:10:52","admin","",""
424,1,396,1,1.00,"2020-09-18 20:10:55","admin","",""
425,1,397,1,1.00,"2020-09-18 20:10:58","admin","",""
426,1,398,1,1.00,"2020-09-18 20:11:02","admin","",""
427,1,399,1,1.00,"2020-09-18 20:11:04","admin","",""
428,1,400,1,1.00,"2020-09-18 20:11:07","admin","",""
429,1,401,1,1.00,"2020-09-18 20:11:09","admin","",""
430,1,402,1,1.00,"2020-09-18 20:11:12","admin","",""
431,1,403,1,1.00,"2020-09-18 20:11:14","admin","",""
432,1,404,1,1.00,"2020-09-18 20:11:17","admin","",""
433,1,405,1,1.00,"2020-09-18 20:11:38","admin","",""
434,1,406,1,1.00,"2020-09-18 20:11:41","admin","",""
435,1,407,1,1.00,"2020-09-18 20:11:45","admin","",""
436,1,408,1,1.00,"2020-09-18 20:11:47","admin","",""
437,1,409,1,1.00,"2020-09-18 20:11:50","admin","",""
438,1,410,1,1.00,"2020-09-18 20:11:52","admin","",""
439,1,411,1,1.00,"2020-09-18 20:11:54","admin","",""
440,1,412,1,1.00,"2020-09-18 20:11:57","admin","",""
441,1,413,1,1.00,"2020-09-18 20:11:59","admin","",""
442,1,414,1,1.00,"2020-09-18 20:12:02","admin","",""
443,1,415,1,1.00,"2020-09-18 20:12:05","admin","",""
444,1,416,1,1.00,"2020-09-18 20:12:07","admin","",""
445,1,417,1,1.00,"2020-09-18 20:12:10","admin","",""
446,1,418,1,1.00,"2020-09-18 20:12:13","admin","",""
447,1,419,1,1.00,"2020-09-18 20:12:15","admin","",""
448,1,420,1,1.00,"2020-09-18 20:12:18","admin","",""
449,1,421,1,1.00,"2020-09-18 20:12:21","admin","",""
